cycles,mutation_prob,non_dup_prob,quantization_bits,error_rate
1,0.01,0.0,1,0.06999999999999995
1,0.01,0.0,2,0.06999999999999995
1,0.01,0.0,3,0.040000000000000036
1,0.01,0.0,4,0.08999999999999997
1,0.01,0.02,1,0.17000000000000004
1,0.01,0.02,2,0.14
1,0.01,0.02,3,0.17000000000000004
1,0.01,0.02,4,0.17000000000000004
1,0.01,0.04,1,0.26
1,0.01,0.04,2,0.28
1,0.01,0.04,3,0.29000000000000004
1,0.01,0.04,4,0.27
1,0.01,0.06,1,0.38
1,0.01,0.06,2,0.4
1,0.01,0.06,3,0.36
1,0.01,0.06,4,0.43000000000000005
1,0.01,0.08,1,0.55
1,0.01,0.08,2,0.45999999999999996
1,0.01,0.08,3,0.41000000000000003
1,0.01,0.08,4,0.49
1,0.01,0.1,1,0.55
1,0.01,0.1,2,0.5
1,0.01,0.1,3,0.5700000000000001
1,0.01,0.1,4,0.65
1,0.03,0.0,1,0.22999999999999998
1,0.03,0.0,2,0.14
1,0.03,0.0,3,0.13
1,0.03,0.0,4,0.17000000000000004
1,0.03,0.02,1,0.22999999999999998
1,0.03,0.02,2,0.24
1,0.03,0.02,3,0.30000000000000004
1,0.03,0.02,4,0.30000000000000004
1,0.03,0.04,1,0.29000000000000004
1,0.03,0.04,2,0.4
1,0.03,0.04,3,0.39
1,0.03,0.04,4,0.39
1,0.03,0.06,1,0.49
1,0.03,0.06,2,0.43999999999999995
1,0.03,0.06,3,0.47
1,0.03,0.06,4,0.38
1,0.03,0.08,1,0.49
1,0.03,0.08,2,0.5900000000000001
1,0.03,0.08,3,0.47
1,0.03,0.08,4,0.49
1,0.03,0.1,1,0.5800000000000001
1,0.03,0.1,2,0.64
1,0.03,0.1,3,0.55
1,0.03,0.1,4,0.44999999999999996
1,0.05,0.0,1,0.19999999999999996
1,0.05,0.0,2,0.27
1,0.05,0.0,3,0.19999999999999996
1,0.05,0.0,4,0.22999999999999998
1,0.05,0.02,1,0.32999999999999996
1,0.05,0.02,2,0.39
1,0.05,0.02,3,0.37
1,0.05,0.02,4,0.39
1,0.05,0.04,1,0.41000000000000003
1,0.05,0.04,2,0.43000000000000005
1,0.05,0.04,3,0.43999999999999995
1,0.05,0.04,4,0.47
1,0.05,0.06,1,0.5
1,0.05,0.06,2,0.5700000000000001
1,0.05,0.06,3,0.44999999999999996
1,0.05,0.06,4,0.52
1,0.05,0.08,1,0.64
1,0.05,0.08,2,0.6
1,0.05,0.08,3,0.6
1,0.05,0.08,4,0.51
1,0.05,0.1,1,0.6599999999999999
1,0.05,0.1,2,0.7
1,0.05,0.1,3,0.63
1,0.05,0.1,4,0.5700000000000001
1,0.07,0.0,1,0.25
1,0.07,0.0,2,0.28
1,0.07,0.0,3,0.31000000000000005
1,0.07,0.0,4,0.24
1,0.07,0.02,1,0.4
1,0.07,0.02,2,0.47
1,0.07,0.02,3,0.43000000000000005
1,0.07,0.02,4,0.43000000000000005
1,0.07,0.04,1,0.6
1,0.07,0.04,2,0.49
1,0.07,0.04,3,0.45999999999999996
1,0.07,0.04,4,0.42000000000000004
1,0.07,0.06,1,0.63
1,0.07,0.06,2,0.51
1,0.07,0.06,3,0.5800000000000001
1,0.07,0.06,4,0.44999999999999996
1,0.07,0.08,1,0.6599999999999999
1,0.07,0.08,2,0.52
1,0.07,0.08,3,0.71
1,0.07,0.08,4,0.63
1,0.07,0.1,1,0.65
1,0.07,0.1,2,0.61
1,0.07,0.1,3,0.61
1,0.07,0.1,4,0.6599999999999999
