cycles,mutation_prob,non_dup_prob,quantization_bits,error_rate_post_q,error_rate_pre_q
1,0.01,0.0,1,0.008299999999999974,0.008199999999999985
1,0.01,0.0,2,0.009299999999999975,0.009800000000000031
1,0.01,0.0,3,0.010600000000000054,0.010000000000000009
1,0.01,0.0,4,0.009800000000000031,0.008900000000000019
1,0.01,0.02,1,0.009800000000000031,0.009000000000000008
1,0.01,0.02,2,0.009199999999999986,0.011199999999999988
1,0.01,0.02,3,0.010399999999999965,0.010199999999999987
1,0.01,0.02,4,0.009800000000000031,0.008399999999999963
1,0.01,0.04,1,0.00880000000000003,0.007900000000000018
1,0.01,0.04,2,0.010499999999999954,0.010299999999999976
1,0.01,0.04,3,0.006900000000000017,0.007900000000000018
1,0.01,0.04,4,0.008199999999999985,0.008299999999999974
1,0.01,0.06,1,0.010499999999999954,0.010199999999999987
1,0.01,0.06,2,0.010000000000000009,0.009399999999999964
1,0.01,0.06,3,0.008900000000000019,0.008099999999999996
1,0.01,0.06,4,0.010299999999999976,0.009800000000000031
1,0.01,0.08,1,0.009099999999999997,0.008399999999999963
1,0.01,0.08,2,0.009000000000000008,0.010199999999999987
1,0.01,0.08,3,0.008199999999999985,0.008000000000000007
1,0.01,0.08,4,0.009600000000000053,0.009700000000000042
1,0.01,0.1,1,0.009600000000000053,0.011399999999999966
1,0.01,0.1,2,0.009499999999999953,0.009800000000000031
1,0.01,0.1,3,0.007099999999999995,0.007800000000000029
1,0.01,0.1,4,0.011499999999999955,0.011199999999999988
1,0.03,0.0,1,0.03259999999999996,0.03049999999999997
1,0.03,0.0,2,0.028699999999999948,0.028100000000000014
1,0.03,0.0,3,0.026900000000000035,0.028100000000000014
1,0.03,0.0,4,0.031200000000000006,0.030000000000000027
1,0.03,0.02,1,0.030200000000000005,0.030299999999999994
1,0.03,0.02,2,0.028800000000000048,0.027699999999999947
1,0.03,0.02,3,0.028699999999999948,0.027699999999999947
1,0.03,0.02,4,0.028900000000000037,0.029000000000000026
1,0.03,0.04,1,0.029299999999999993,0.03169999999999995
1,0.03,0.04,2,0.027900000000000036,0.026800000000000046
1,0.03,0.04,3,0.027800000000000047,0.028000000000000025
1,0.03,0.04,4,0.030100000000000016,0.028200000000000003
1,0.03,0.06,1,0.028200000000000003,0.027100000000000013
1,0.03,0.06,2,0.025900000000000034,0.026800000000000046
1,0.03,0.06,3,0.025399999999999978,0.027800000000000047
1,0.03,0.06,4,0.028200000000000003,0.027699999999999947
1,0.03,0.08,1,0.0262,0.027699999999999947
1,0.03,0.08,2,0.030100000000000016,0.0252
1,0.03,0.08,3,0.027800000000000047,0.0262
1,0.03,0.08,4,0.029900000000000038,0.029200000000000004
1,0.03,0.1,1,0.02849999999999997,0.027900000000000036
1,0.03,0.1,2,0.026100000000000012,0.024399999999999977
1,0.03,0.1,3,0.028699999999999948,0.025900000000000034
1,0.03,0.1,4,0.029000000000000026,0.026100000000000012
1,0.05,0.0,1,0.05349999999999999,0.048699999999999966
1,0.05,0.0,2,0.047900000000000054,0.048900000000000055
1,0.05,0.0,3,0.04510000000000003,0.04620000000000002
1,0.05,0.0,4,0.04859999999999998,0.0474
1,0.05,0.02,1,0.047799999999999954,0.050799999999999956
1,0.05,0.02,2,0.049000000000000044,0.047599999999999976
1,0.05,0.02,3,0.050799999999999956,0.04730000000000001
1,0.05,0.02,4,0.047699999999999965,0.04730000000000001
1,0.05,0.04,1,0.047799999999999954,0.047900000000000054
1,0.05,0.04,2,0.0474,0.046499999999999986
1,0.05,0.04,3,0.05020000000000002,0.05049999999999999
1,0.05,0.04,4,0.04930000000000001,0.05020000000000002
1,0.05,0.06,1,0.046499999999999986,0.04859999999999998
1,0.05,0.06,2,0.04620000000000002,0.047900000000000054
1,0.05,0.06,3,0.04810000000000003,0.04690000000000005
1,0.05,0.06,4,0.04959999999999998,0.04400000000000004
1,0.05,0.08,1,0.04810000000000003,0.049699999999999966
1,0.05,0.08,2,0.04410000000000003,0.042200000000000015
1,0.05,0.08,3,0.04379999999999995,0.044399999999999995
1,0.05,0.08,4,0.04679999999999995,0.0484
1,0.05,0.1,1,0.04400000000000004,0.04579999999999995
1,0.05,0.1,2,0.04579999999999995,0.04379999999999995
1,0.05,0.1,3,0.04579999999999995,0.043300000000000005
1,0.05,0.1,4,0.046499999999999986,0.044499999999999984
1,0.07,0.0,1,0.06559999999999999,0.06620000000000004
1,0.07,0.0,2,0.06840000000000002,0.06910000000000005
1,0.07,0.0,3,0.06610000000000005,0.06659999999999999
1,0.07,0.0,4,0.07179999999999997,0.06740000000000002
1,0.07,0.02,1,0.06430000000000002,0.06979999999999997
1,0.07,0.02,2,0.06579999999999997,0.06430000000000002
1,0.07,0.02,3,0.06789999999999996,0.0675
1,0.07,0.02,4,0.06740000000000002,0.06830000000000003
1,0.07,0.04,1,0.06620000000000004,0.06889999999999996
1,0.07,0.04,2,0.0665,0.06710000000000005
1,0.07,0.04,3,0.06640000000000001,0.06410000000000005
1,0.07,0.04,4,0.06279999999999997,0.060899999999999954
1,0.07,0.06,1,0.061799999999999966,0.06040000000000001
1,0.07,0.06,2,0.06159999999999999,0.062000000000000055
1,0.07,0.06,3,0.06320000000000003,0.06520000000000004
1,0.07,0.06,4,0.06230000000000002,0.06289999999999996
1,0.07,0.08,1,0.062100000000000044,0.05940000000000001
1,0.07,0.08,2,0.06110000000000004,0.0625
1,0.07,0.08,3,0.06159999999999999,0.062000000000000055
1,0.07,0.08,4,0.06289999999999996,0.0655
1,0.07,0.1,1,0.06110000000000004,0.06010000000000004
1,0.07,0.1,2,0.061000000000000054,0.06230000000000002
1,0.07,0.1,3,0.06310000000000004,0.05830000000000002
1,0.07,0.1,4,0.060799999999999965,0.06279999999999997
1,0.1,0.0,1,0.1018,0.10060000000000002
1,0.1,0.0,2,0.09950000000000003,0.0968
1,0.1,0.0,3,0.10109999999999997,0.09709999999999996
1,0.1,0.0,4,0.09650000000000003,0.09179999999999999
1,0.1,0.02,1,0.09689999999999999,0.09650000000000003
1,0.1,0.02,2,0.09699999999999998,0.09389999999999998
1,0.1,0.02,3,0.09389999999999998,0.09240000000000004
1,0.1,0.02,4,0.09940000000000004,0.10129999999999995
1,0.1,0.04,1,0.09419999999999995,0.09309999999999996
1,0.1,0.04,2,0.09219999999999995,0.09660000000000002
1,0.1,0.04,3,0.0947,0.09130000000000005
1,0.1,0.04,4,0.09730000000000005,0.09860000000000002
1,0.1,0.06,1,0.08930000000000005,0.08999999999999997
1,0.1,0.06,2,0.09119999999999995,0.09040000000000004
1,0.1,0.06,3,0.08830000000000005,0.09050000000000002
1,0.1,0.06,4,0.0907,0.09719999999999995
1,0.1,0.08,1,0.08720000000000006,0.08430000000000004
1,0.1,0.08,2,0.09150000000000003,0.0917
1,0.1,0.08,3,0.09319999999999995,0.09160000000000001
1,0.1,0.08,4,0.08919999999999995,0.09140000000000004
1,0.1,0.1,1,0.08799999999999997,0.08789999999999998
1,0.1,0.1,2,0.08309999999999995,0.08830000000000005
1,0.1,0.1,3,0.09040000000000004,0.0948
1,0.1,0.1,4,0.08509999999999995,0.08540000000000003
2,0.01,0.0,1,0.010800000000000032,0.011199999999999988
